League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link,Year
premier-league,Leicester,Tottenham,"[""25' Goal_Away - Kane H.(Son Heung-Min)"", ""36' Goal_Away - Son Heung-Min(Alli D.)"", ""59' Goal_Home - Chilwell B."", ""63' Goal_Away - Kane H."", ""65' Yellow_Away - Sissoko M.(Faul)"", ""65' Yellow_Home - Albrighton M.(Podcięcie)"", ""71' Goal_Away - Son Heung-Min(Kane H.)"", ""75' Yellow_Home - Gray D.(Nadmierna ostrość)"", ""80' Yellow_Home - Simpson D.(Podcięcie)"", ""89' Goal_Away - Kane H.(Lesniak F.)"", ""90+2' Goal_Away - Kane H.(Davies B.)""]",34,2017-05-18,20:45,1.0,6.0,0.0,2.0,Away,3.6,3.45,2.0,2.0,True,True,False,False,False,False,False,True,6.0,6.0,0.0,37%,63%,12.0,26.0,5.0,12.0,,,,,3.0,11.0,4.0,3.0,10.0,15.0,4.0,4.0,4.0,2.0,,,6.0,4.0,11.0,8.0,3.0,1.0,https://www.flashscore.com/match/GCzN8lZb/#/match-summary/match-summary,2017
premier-league,Southampton,Manchester Utd,"[""06' Penalty_Missed_Home -  Gabbiadini M.()"", ""10' Yellow_Home - Romeu O.(Nadmierna ostrość)"", ""37' Yellow_Home - PrzytrzymywanieSoares C.(Przytrzymywanie)"", ""51' Yellow_Away - Jones P.(Nadmierna ostrość)""]",28,2017-05-17,20:45,0.0,0.0,0.0,0.0,Draw,2.65,3.2,2.7,3.2,False,False,False,False,False,False,False,False,4.0,8.0,-4.0,53%,47%,17.0,11.0,6.0,1.0,,,,,7.0,8.0,4.0,2.0,13.0,6.0,7.0,3.0,0.0,3.0,15.0,21.0,1.0,6.0,7.0,10.0,2.0,1.0,https://www.flashscore.com/match/AwQxP6O3/#/match-summary/match-summary,2017
premier-league,Manchester City,West Brom,"[""27' Goal_Home - Gabriel Jesus(De Bruyne K.)"", ""29' Goal_Home - De Bruyne K.(Gabriel Jesus)"", ""51' Yellow_Away - Chadli N.(Podcięcie)"", ""52' Yellow_Away - Dawson C.(Podcięcie)"", ""57' Goal_Home - Toure Y.(Aguero S.)"", ""70' Yellow_Home - Sane L.(Symulowanie)"", ""87' Goal_Away - Robson-Kanu H.(Nyom A.)""]",34,2017-05-16,21:00,3.0,1.0,2.0,0.0,Home,1.15,8.0,18.5,1.15,True,True,False,False,False,False,False,False,3.0,2.0,1.0,71%,29%,21.0,5.0,10.0,2.0,,,,,9.0,2.0,2.0,1.0,12.0,10.0,7.0,1.0,2.0,1.0,,,1.0,7.0,8.0,11.0,1.0,2.0,https://www.flashscore.com/match/OxvV6S3B/#/match-summary/match-summary,2017
premier-league,Arsenal,Sunderland,"[""22' Yellow_Home - Bellerin H.(Zagranie ręką)"", ""54' Yellow_Home - Monreal N.(Podcięcie)"", ""55' Yellow_Home - Ozil M.(Niesportowe zachowanie)"", ""56' Yellow_Away - O"", ""72' Goal_Home - Sanchez A.(Ozil M.)"", ""74' Yellow_Away - Cattermole L.(Podcięcie)"", ""81' Goal_Home - Sanchez A."", ""90+2' Yellow_Home - Mustafi S.(Faul)""]",34,2017-05-16,20:45,2.0,0.0,0.0,0.0,Home,1.09,11.5,23.0,1.09,False,False,False,False,False,False,False,False,4.0,7.0,-3.0,63%,37%,36.0,6.0,13.0,2.0,,,,,10.0,2.0,13.0,2.0,13.0,17.0,17.0,3.0,2.0,3.0,,,2.0,11.0,15.0,10.0,4.0,2.0,https://www.flashscore.com/match/4Y64j7JU/#/match-summary/match-summary,2017
premier-league,Chelsea,Watford,"[""04' Yellow_Away - Holebas J.(Przytrzymywanie)"", ""11' Yellow_Away - Amrabat N.(Nadmierna ostrość)"", ""22' Goal_Home - Terry J.(Zouma K.)"", ""24' Goal_Away - Capoue E."", ""30' Yellow_Home - Ake N.(Podcięcie)"", ""36' Goal_Home - Azpilicueta C."", ""49' Goal_Home - Batshuayi M.(Ake N.)"", ""51' Goal_Away - Janmaat D."", ""58' Yellow_Home - Chalobah N.(Niesportowe zachowanie)"", ""74' Goal_Away - Okaka S."", ""83' Yellow_Away - Prodl S.(Podcięcie)"", ""88' Goal_Home - Fabregas C.(Willian)"", ""90+2' Red_Card_Away - Żółta kartka / Prodl S.(Podcięcie)"", ""90+4' Yellow_Away - Deeney T.(Nadmierna ostrość)"", ""90+4' Yellow_Away - Okaka S.(Niesportowe zachowanie)""]",28,2017-05-15,21:00,4.0,3.0,2.0,1.0,Home,1.26,5.9,10.5,1.26,True,True,False,False,True,False,False,False,0.0,6.0,-6.0,47%,53%,24.0,9.0,9.0,3.0,,,,,7.0,5.0,8.0,1.0,14.0,10.0,8.0,3.0,4.0,2.0,,,0.0,5.0,7.0,12.0,2.0,6.0,https://www.flashscore.com/match/UPiG75gT/#/match-summary/match-summary,2017
premier-league,Tottenham,Manchester Utd,"[""06' Goal_Home - Wanyama V.(Davies B.)"", ""36' Yellow_Away - PodcięcieRooney W.(Podcięcie)"", ""48' Goal_Home - Kane H.(Eriksen C.)"", ""71' Goal_Away - Rooney W.(Martial A.)"", ""74' Yellow_Home - PrzytrzymywanieWanyama V.(Przytrzymywanie)"", ""90+1' Yellow_Away - PrzytrzymywanieBailly E.(Przytrzymywanie)""]",37,2017-05-14,17:30,2.0,1.0,1.0,0.0,Home,1.73,3.6,4.8,1.73,True,False,True,False,True,False,False,False,4.0,9.0,-5.0,60%,40%,14.0,8.0,7.0,2.0,,,,,5.0,6.0,2.0,0.0,15.0,17.0,8.0,3.0,2.0,1.0,26.0,33.0,1.0,5.0,14.0,15.0,1.0,2.0,https://www.flashscore.com/match/E9qPBd1E/#/match-summary/match-summary,2017
premier-league,West Ham,Liverpool,"[""35' Goal_Away - Sturridge D.(Coutinho)"", ""50' Yellow_Home - Fernandes E.(Podcięcie)"", ""57' Goal_Away - Coutinho"", ""61' Goal_Away - Coutinho(Wijnaldum G.)"", ""63' Yellow_Home - Collins J.(Niesportowe zachowanie)"", ""76' Goal_Away - Origi D.(Wijnaldum G.)""]",37,2017-05-14,15:15,0.0,4.0,0.0,1.0,Away,6.0,3.85,1.6,1.6,True,True,False,False,False,False,False,False,7.0,5.0,2.0,33%,67%,10.0,26.0,3.0,11.0,,,,,6.0,14.0,1.0,1.0,13.0,8.0,4.0,6.0,3.0,3.0,,,7.0,3.0,5.0,10.0,2.0,0.0,https://www.flashscore.com/match/MZnX9zWQ/#/match-summary/match-summary,2017
premier-league,Crystal Palace,Hull,"[""03' Goal_Home - Zaha W."", ""34' Goal_Home - Benteke C.(Puncheon J.)"", ""37' Yellow_Home - Cabaye Y.(Podcięcie)"", ""40' Yellow_Away - Robertson A.(Podcięcie)"", ""41' Yellow_Home - Puncheon J.(Podcięcie)"", ""80' Yellow_Away - N"", ""84' Yellow_Away - Dawson M.(Podcięcie)"", ""85' Goal_Home - Milivojevic L.(Penalty )"", ""87' Yellow_Away - Davies C.(Podcięcie)"", ""90' Goal_Home - van Aanholt P.(McArthur J.)"", ""90+1' Yellow_Home - van Aanholt P.(Niesportowe zachowanie)"", ""90+3' Yellow_Away - Clucas S.(Podcięcie)""]",37,2017-05-14,13:00,4.0,0.0,2.0,0.0,Home,2.05,3.45,3.55,2.05,True,True,True,False,False,False,True,False,5.0,5.0,0.0,30%,70%,12.0,9.0,4.0,0.0,,,,,7.0,6.0,1.0,3.0,14.0,16.0,3.0,7.0,3.0,1.0,,,0.0,0.0,13.0,14.0,3.0,5.0,https://www.flashscore.com/match/nc4QjePl/#/match-summary/match-summary,2017
premier-league,Stoke,Arsenal,"[""28' Yellow_Away - Mustafi S.(Podcięcie)"", ""42' Goal_Away - Giroud O.(Bellerin H.)"", ""55' Goal_Away - Ozil M.(Sanchez A.)"", ""67' Goal_Home - Crouch P.(Arnautovic M.)"", ""76' Goal_Away - Sanchez A.(Bellerin H.)"", ""78' Yellow_Away - Holding R.(Podcięcie)"", ""80' Goal_Away - Giroud O.(Ramsey A.)"", ""89' Yellow_Home - Crouch P.(Podcięcie)""]",37,2017-05-13,18:30,1.0,4.0,0.0,1.0,Away,5.15,4.0,1.67,1.67,True,True,False,False,False,False,False,False,2.0,3.0,-1.0,33%,67%,10.0,10.0,4.0,6.0,,,,,3.0,3.0,3.0,1.0,8.0,16.0,7.0,6.0,3.0,2.0,24.0,19.0,2.0,3.0,13.0,7.0,1.0,2.0,https://www.flashscore.com/match/zJpLCxn8/#/match-summary/match-summary,2017
premier-league,Bournemouth,Burnley,"[""25' Goal_Home - Stanislas J.(Cook L.)"", ""83' Goal_Away - Vokes S.(Gudmundsson J.)"", ""85' Goal_Home - King J.(Fraser R.)"", ""89' Yellow_Away - Brady R.(Symulowanie)""]",37,2017-05-13,16:00,2.0,1.0,1.0,0.0,Home,1.93,3.55,3.9,1.93,True,False,False,False,False,False,False,False,6.0,4.0,2.0,55%,45%,18.0,14.0,6.0,3.0,,,,,6.0,7.0,6.0,4.0,16.0,9.0,7.0,1.0,3.0,5.0,,,2.0,4.0,6.0,11.0,0.0,1.0,https://www.flashscore.com/match/KzYTiyAr/#/match-summary/match-summary,2017
premier-league,Middlesbrough,Southampton,"[""42' Goal_Away - Rodriguez J.(Long S.)"", ""57' Goal_Away - Redmond N.(Rodriguez J.)"", ""64' Penalty_Missed_Away -  Long S.()"", ""66' Yellow_Home - Clayton A.(Nadmierna ostrość)"", ""72' Goal_Home - Bamford P.(Fischer V.)"", ""86' Yellow_Home - Gibson B.(Podcięcie)"", ""90' Yellow_Home - De Roon M.(Nadmierna ostrość)""]",37,2017-05-13,16:00,1.0,2.0,0.0,1.0,Away,3.55,3.45,2.05,2.05,True,False,False,False,False,False,False,False,3.0,2.0,1.0,42%,58%,13.0,14.0,3.0,4.0,,,,,4.0,6.0,6.0,4.0,11.0,20.0,6.0,3.0,2.0,0.0,,,2.0,2.0,19.0,11.0,3.0,0.0,https://www.flashscore.com/match/YD6xlg97/#/match-summary/match-summary,2017
premier-league,Sunderland,Swansea,"[""09' Goal_Away - Llorente F.(Sigurdsson G.)"", ""45+2' Goal_Away - Naughton K.(Ki Sung-Yueng)"", ""58' Yellow_Home - Larsson S.(Niesportowe zachowanie)"", ""78' Yellow_Home - Khazri W.(Podcięcie)"", ""84' Yellow_Home - Gibson D.(Podcięcie)"", ""86' Yellow_Home - Borini F.(Nadmierna ostrość)""]",37,2017-05-13,16:00,0.0,2.0,0.0,2.0,Away,3.95,3.5,1.92,1.92,False,False,False,True,False,True,False,False,5.0,4.0,1.0,53%,47%,13.0,3.0,4.0,3.0,,,,,6.0,0.0,3.0,0.0,7.0,15.0,8.0,4.0,2.0,1.0,24.0,18.0,1.0,4.0,13.0,6.0,4.0,0.0,https://www.flashscore.com/match/pAcrsucG/#/match-summary/match-summary,2017
premier-league,Manchester City,Leicester,"[""29' Goal_Home - Silva D.(Sane L.)"", ""35' Yellow_Away - Benalouane Y.(Podcięcie)"", ""36' Goal_Home - Gabriel Jesus(Penalty )"", ""42' Goal_Away - Okazaki S.(Albrighton M.)"", ""50' Yellow_Home - Kompany V.(Podcięcie)"", ""72' Yellow_Away - Fuchs Ch.(Faul)"", ""77' Penalty_Missed_Away -  Mahrez R.()"", ""79' Yellow_Away - Albrighton M.(Podcięcie)"", ""84' Yellow_Home - Aguero S.(Niesportowe zachowanie)"", ""90+9' Yellow_Home - Silva D.(Faul)""]",37,2017-05-13,13:30,2.0,1.0,2.0,1.0,Home,1.24,6.3,10.5,1.24,True,False,False,False,False,False,False,False,2.0,5.0,-3.0,66%,34%,17.0,9.0,5.0,4.0,,,,,5.0,3.0,7.0,2.0,14.0,12.0,9.0,3.0,0.0,0.0,,,3.0,3.0,12.0,16.0,3.0,3.0,https://www.flashscore.com/match/KA2YlZg1/#/match-summary/match-summary,2017
premier-league,West Brom,Chelsea,"[""20' Yellow_Home - McClean J.(Podcięcie)"", ""36' Yellow_Home - Field S.(Podcięcie)"", ""71' Yellow_Home - Wilson M.(Przytrzymywanie)"", ""82' Goal_Away - Batshuayi M.(Azpilicueta C.)""]",37,2017-05-12,21:00,0.0,1.0,0.0,0.0,Away,8.2,4.9,1.38,1.38,False,False,False,False,False,False,False,False,1.0,0.0,1.0,32%,68%,7.0,24.0,2.0,5.0,,,,,2.0,10.0,3.0,9.0,9.0,16.0,5.0,8.0,3.0,1.0,,,4.0,2.0,13.0,8.0,3.0,0.0,https://www.flashscore.com/match/rqlTAGGK/#/match-summary/match-summary,2017
premier-league,Everton,Watford,"[""39' Yellow_Away - Behrami V.(Przytrzymywanie)"", ""39' Yellow_Away - Janmaat D.(Niesportowe zachowanie)"", ""56' Goal_Home - Barkley R.(Jagielka P.)"", ""70' Yellow_Away - Holebas J.(Niesportowe zachowanie)""]",37,2017-05-12,20:45,1.0,0.0,0.0,0.0,Home,1.47,4.5,6.55,1.47,False,False,False,False,False,False,False,False,9.0,5.0,4.0,63%,37%,15.0,13.0,6.0,1.0,,,,,4.0,6.0,5.0,6.0,12.0,9.0,9.0,8.0,2.0,1.0,,,1.0,5.0,7.0,11.0,0.0,3.0,https://www.flashscore.com/match/Qm3UkFve/#/match-summary/match-summary,2017
premier-league,Southampton,Arsenal,"[""44' Yellow_Home - Ward-Prowse J.(Przytrzymywanie)"", ""60' Goal_Away - Sanchez A.(Ozil M.)"", ""73' Yellow_Away - Ozil M.(Podcięcie)"", ""83' Goal_Away - Giroud O.(Ramsey A.)"", ""90+3' Yellow_Away - Opóźnianie gryBellerin H.(Opóźnianie gry)""]",26,2017-05-10,20:45,0.0,2.0,0.0,0.0,Away,3.6,3.5,2.0,2.0,False,False,False,False,False,False,False,False,4.0,3.0,1.0,47%,53%,14.0,11.0,3.0,4.0,,,,,8.0,3.0,3.0,4.0,6.0,8.0,5.0,5.0,2.0,1.0,30.0,20.0,2.0,3.0,8.0,5.0,1.0,2.0,https://www.flashscore.com/match/h0Y90Wun/#/match-summary/match-summary,2017
premier-league,Chelsea,Middlesbrough,"[""23' Goal_Home - Costa D.(Fabregas C.)"", ""34' Goal_Home - Alonso M.(Azpilicueta C.)"", ""60' Yellow_Away - Fabio(Podcięcie)"", ""65' Goal_Home - Matic N.(Fabregas C.)"", ""89' Yellow_Away - Bamford P.(Podcięcie)""]",36,2017-05-08,21:00,3.0,0.0,2.0,0.0,Home,1.15,7.4,17.0,1.15,True,False,False,False,False,False,False,False,1.0,3.0,-2.0,57%,43%,21.0,2.0,7.0,1.0,,,,,11.0,0.0,3.0,1.0,23.0,6.0,8.0,1.0,0.0,2.0,,,1.0,4.0,8.0,21.0,0.0,2.0,https://www.flashscore.com/match/0W03yGP1/#/match-summary/match-summary,2017
premier-league,Arsenal,Manchester Utd,"[""54' Goal_Home - Xhaka G.(Oxlade-Chamberlain A.)"", ""57' Goal_Home - Welbeck D.(Oxlade-Chamberlain A.)"", ""67' Yellow_Home - Koscielny L.(Podcięcie)""]",36,2017-05-07,17:00,2.0,0.0,0.0,0.0,Home,2.0,3.45,3.7,2.0,False,False,False,False,False,False,False,False,4.0,8.0,-4.0,50%,50%,9.0,10.0,4.0,4.0,,,,,1.0,4.0,4.0,2.0,13.0,16.0,5.0,9.0,2.0,4.0,,,4.0,2.0,14.0,10.0,1.0,0.0,https://www.flashscore.com/match/vHCfwxek/#/match-summary/match-summary,2017
premier-league,Liverpool,Southampton,"[""65' Yellow_Away - Soares C.(Niesportowe zachowanie)"", ""65' Yellow_Away - Ward-Prowse J.(Opóźnianie gry)"", ""66' Penalty_Missed_Home -  Milner J.()"", ""89' Yellow_Home - Lovren D.(Zagranie ręką)"", ""90+2' Yellow_Away - Bertrand R.(Faul)""]",36,2017-05-07,14:30,0.0,0.0,0.0,0.0,Draw,1.57,4.2,5.5,4.2,False,False,False,False,False,False,False,False,4.0,4.0,0.0,65%,35%,17.0,4.0,8.0,0.0,,,,,4.0,3.0,5.0,1.0,6.0,10.0,3.0,6.0,1.0,3.0,,,0.0,8.0,9.0,4.0,1.0,3.0,https://www.flashscore.com/match/A1rfbwXE/#/match-summary/match-summary,2017
premier-league,Swansea,Everton,"[""29' Goal_Home - Llorente F.(Ayew J.)""]",36,2017-05-06,18:30,1.0,0.0,1.0,0.0,Home,2.55,3.4,2.78,2.55,False,False,False,False,False,False,False,False,4.0,8.0,-4.0,38%,62%,9.0,8.0,4.0,2.0,,,,,2.0,4.0,3.0,2.0,13.0,5.0,9.0,5.0,0.0,0.0,,,2.0,3.0,5.0,13.0,,,https://www.flashscore.com/match/SY2wrLsA/#/match-summary/match-summary,2017
premier-league,Bournemouth,Stoke,"[""26' Yellow_Home - Arter H.(Podcięcie)"", ""33' Own_Away - Mousset L.()"", ""62' Goal_Home - Stanislas J.(Smith A.)"", ""73' Goal_Away - Diouf M."", ""81' Own_Home - Shawcross R.()"", ""89' Yellow_Home - Gradel M.(Faul)""]",36,2017-05-06,16:00,2.0,2.0,0.0,1.0,Draw,2.35,3.45,3.05,3.45,True,True,False,False,False,False,False,False,7.0,2.0,5.0,58%,42%,12.0,14.0,2.0,3.0,,,,,7.0,6.0,3.0,5.0,17.0,11.0,0.0,7.0,1.0,2.0,,,1.0,0.0,10.0,15.0,2.0,0.0,https://www.flashscore.com/match/St9jvIuq/#/match-summary/match-summary,2017
