User;Название;Жанр;Рейтинг
Павел;Начало;боевик;9.6
Павел;Молчание ягнят;триллер;8.3
Павел;Крёстный отец;криминал;8.0
Катя;Назад в будущее;фантастика;7.4
Катя;Бойцовский клуб;триллер;8.6
Катя;Крёстный отец;криминал;7.4
Катя;Форрест Гамп;драма;9.9
Катя;Pulp Fiction;криминал;8.5
Алексей;Один дома;комедия;7.6
Алексей;Pulp Fiction;криминал;9.0
Алексей;Список Шиндлера;драма;7.4
Алексей;Бойцовский клуб;триллер;8.3
Алексей;Довод;боевик;9.3
Наташа;Терминатор 2;боевик;8.4
Наташа;Молчание ягнят;триллер;8.0
Наташа;Большой Лебовски;комедия;8.4
Наташа;Джокер;драма;8.4
Наташа;Начало;боевик;8.5
Виктор;Один дома;комедия;7.4
Виктор;Матрица;боевик;9.1
Виктор;Молчание ягнят;триллер;7.6
Виктор;Побег из Шоушенка;драма;9.2
Виктор;Джокер;драма;8.1
Лена;Властелин колец;фэнтези;8.2
Лена;Молчание ягнят;триллер;7.4
Лена;Pulp Fiction;криминал;9.1
Лена;Джокер;драма;8.1
Лена;Один дома;комедия;8.3
Иван;Интерстеллар;фантастика;8.2
Иван;Матрица;боевик;9.0
Иван;Однажды в Голливуде;комедия;8.2
Иван;Список Шиндлера;драма;7.8
Иван;Семь;триллер;7.4
Ольга;Крёстный отец;криминал;7.9
Ольга;Престиж;триллер;8.2
Ольга;Один дома;комедия;7.9
Ольга;Форрест Гамп;драма;9.6
Ольга;Зелёная миля;драма;9.3
Сергей;Бойцовский клуб;триллер;8.9
Сергей;Назад в будущее;фантастика;7.7
Сергей;Один дома;комедия;7.2
Сергей;Побег из Шоушенка;драма;9.0
Сергей;Pulp Fiction;криминал;8.9
Мария;Форрест Гамп;драма;9.3
Мария;Семь;триллер;7.9
Мария;Властелин колец;фэнтези;7.9
Мария;Интерстеллар;фантастика;8.6
Мария;Тёмный рыцарь;боевик;7.7
Дмитрий;Довод;боевик;9.7
Дмитрий;Интерстеллар;фантастика;8.7
Дмитрий;Бойцовский клуб;триллер;8.6
Дмитрий;Goodfellas;криминал;9.6
Дмитрий;Звёздные войны;фантастика;8.1
Анна;Семь;триллер;7.8
Анна;Pulp Fiction;криминал;8.6
Анна;Терминатор 2;боевик;8.6
Анна;Властелин колец;фэнтези;8.5
Анна;Побег из Шоушенка;драма;8.8
Павел;Список Шиндлера;драма;7.5
Павел;Интерстеллар;фантастика;8.3
Павел;Матрица;боевик;9.0
Павел;Леон;криминал;9.2
Павел;Крёстный отец;криминал;7.9
Катя;Список Шиндлера;драма;8.2
Катя;Большой Лебовски;комедия;8.4
Катя;Молчание ягнят;триллер;7.6
Катя;Бойцовский клуб;триллер;8.0
Катя;Джокер;драма;8.1
Алексей;Властелин колец;фэнтези;8.0
Алексей;Молчание ягнят;триллер;7.9
Алексей;Большой Лебовски;комедия;7.1
Алексей;Звёздные войны;фантастика;8.3
Алексей;Список Шиндлера;драма;7.6
Наташа;Семь;триллер;7.7
Наташа;Леон;криминал;9.1
Наташа;Форрест Гамп;драма;9.3
Наташа;Интерстеллар;фантастика;8.2
Наташа;Крёстный отец;криминал;7.2
Виктор;Однажды в Голливуде;комедия;8.0
Виктор;Молчание ягнят;триллер;8.1
Виктор;Побег из Шоушенка;драма;8.5
Виктор;Звёздные войны;фантастика;8.2
Виктор;Терминатор 2;боевик;8.8
Лена;Pulp Fiction;криминал;8.6
Лена;Джокер;драма;8.1
Лена;Форрест Гамп;драма;9.1
Лена;Бойцовский клуб;триллер;8.2
Лена;Молчание ягнят;триллер;7.5
Иван;Тёмный рыцарь;боевик;8.9
Иван;Pulp Fiction;криминал;8.8
Иван;Властелин колец;фэнтези;7.7
Иван;Большой Лебовски;комедия;7.7
Иван;Список Шиндлера;драма;7.8
Ольга;Джокер;драма;8.2
Ольга;Назад в будущее;фантастика;7.8
Ольга;Звёздные войны;фантастика;8.1
Ольга;Pulp Fiction;криминал;8.9
Ольга;Молчание ягнят;триллер;7.8
Сергей;Властелин колец;фэнтези;7.8
Сергей;Семь;триллер;7.2
Сергей;Однажды в Голливуде;комедия;7.6
Сергей;Назад в будущее;фантастика;8.3
Сергей;Терминатор 2;боевик;9.5
Мария;Начало;боевик;8.4
Мария;Форрест Гамп;драма;9.6
Мария;Молчание ягнят;триллер;8.0
Мария;Pulp Fiction;криминал;9.7
Мария;Семь;триллер;7.8
Дмитрий;Pulp Fiction;криминал;9.2
Дмитрий;Джокер;драма;7.9
Дмитрий;Матрица;боевик;8.3
Дмитрий;Большой Лебовски;комедия;7.6
Дмитрий;Леон;криминал;9.2
Анна;Назад в будущее;фантастика;7.2
Анна;Семь;триллер;7.3
Анна;Терминатор 2;боевик;8.1
Анна;Побег из Шоушенка;драма;9.6
Анна;Форрест Гамп;драма;9.8
Павел;Молчание ягнят;триллер;8.1
Павел;Леон;криминал;9.4
Павел;Большой Лебовски;комедия;7.5
Павел;Goodfellas;криминал;8.8
Павел;Властелин колец;фэнтези;8.3
Катя;Зелёная миля;драма;9.1
Катя;Pulp Fiction;криминал;8.4
Катя;Форрест Гамп;драма;9.4
Катя;Звёздные войны;фантастика;7.7
Катя;Престиж;триллер;8.2
Алексей;Джокер;драма;8.0
Алексей;Матрица;боевик;9.5
Алексей;Pulp Fiction;криминал;8.8
Алексей;Тёмный рыцарь;боевик;8.4
Алексей;Назад в будущее;фантастика;7.8
Наташа;Звёздные войны;фантастика;7.8
Наташа;Pulp Fiction;криминал;8.7
Наташа;Goodfellas;криминал;8.8
Наташа;Большой Лебовски;комедия;7.9
Наташа;Властелин колец;фэнтези;8.0
Виктор;Тёмный рыцарь;боевик;8.4
Виктор;Довод;боевик;9.5
Виктор;Один дома;комедия;7.5
Виктор;Pulp Fiction;криминал;9.1
Виктор;Назад в будущее;фантастика;7.7
Лена;Один дома;комедия;8.2
Лена;Форрест Гамп;драма;9.5
Лена;Начало;боевик;8.6
Лена;Побег из Шоушенка;драма;9.0
Лена;Крёстный отец;криминал;7.7
Иван;Один дома;комедия;7.4
Иван;Престиж;триллер;8.6
Иван;Большой Лебовски;комедия;7.4
Иван;Довод;боевик;9.7
Иван;Тёмный рыцарь;боевик;8.2
Ольга;Зелёная миля;драма;8.7
Ольга;Молчание ягнят;триллер;7.5
Ольга;Goodfellas;криминал;9.2
Ольга;Леон;криминал;9.3
Ольга;Форрест Гамп;драма;9.4
Сергей;Однажды в Голливуде;комедия;8.2
Сергей;Семь;триллер;7.4
Сергей;Престиж;триллер;8.8
Сергей;Один дома;комедия;7.3
Сергей;Начало;боевик;9.1
Мария;Goodfellas;криминал;9.1
Мария;Однажды в Голливуде;комедия;8.2
Мария;Побег из Шоушенка;драма;9.0
Мария;Довод;боевик;9.2
Мария;Список Шиндлера;драма;8.2
Дмитрий;Довод;боевик;9.4
Дмитрий;Молчание ягнят;триллер;7.9
Дмитрий;Один дома;комедия;7.8
Дмитрий;Матрица;боевик;9.1
Дмитрий;Однажды в Голливуде;комедия;7.5
Анна;Звёздные войны;фантастика;7.7
Анна;Зелёная миля;драма;9.3
Анна;Крёстный отец;криминал;7.4
Анна;Терминатор 2;боевик;8.5
Анна;Один дома;комедия;7.7
Павел;Список Шиндлера;драма;7.8
Павел;Зелёная миля;драма;8.6
Павел;Начало;боевик;9.5
Павел;Pulp Fiction;криминал;8.9
Павел;Звёздные войны;фантастика;8.5
Катя;Терминатор 2;боевик;8.5
Катя;Большой Лебовски;комедия;7.9
Катя;Властелин колец;фэнтези;8.0
Катя;Довод;боевик;9.3
Катя;Зелёная миля;драма;8.9
Алексей;Большой Лебовски;комедия;7.7
Алексей;Джокер;драма;8.3
Алексей;Звёздные войны;фантастика;8.5
Алексей;Молчание ягнят;триллер;7.8
Алексей;Терминатор 2;боевик;9.2
Наташа;Зелёная миля;драма;9.0
Наташа;Матрица;боевик;8.0
Наташа;Джокер;драма;7.9
Наташа;Престиж;триллер;8.0
Наташа;Интерстеллар;фантастика;8.2
Виктор;Довод;боевик;9.5
Виктор;Один дома;комедия;8.0
Виктор;Goodfellas;криминал;9.6
Виктор;Интерстеллар;фантастика;8.4
Виктор;Звёздные войны;фантастика;8.3
Лена;Престиж;триллер;7.8
Лена;Goodfellas;криминал;9.1
Лена;Один дома;комедия;8.2
Лена;Интерстеллар;фантастика;7.9
Лена;Зелёная миля;драма;9.3
Иван;Тёмный рыцарь;боевик;8.5
Иван;Однажды в Голливуде;комедия;8.1
Иван;Назад в будущее;фантастика;8.1
Иван;Один дома;комедия;8.4
Иван;Интерстеллар;фантастика;8.6
Ольга;Властелин колец;фэнтези;8.0
Ольга;Терминатор 2;боевик;8.3
Ольга;Тёмный рыцарь;боевик;7.6
Ольга;Начало;боевик;8.8
Ольга;Один дома;комедия;7.7
Сергей;Семь;триллер;7.8
Сергей;Однажды в Голливуде;комедия;7.9
Сергей;Начало;боевик;9.4
Сергей;Форрест Гамп;драма;9.2
Сергей;Тёмный рыцарь;боевик;8.8
Мария;Молчание ягнят;триллер;7.8
Мария;Властелин колец;фэнтези;7.8
Мария;Терминатор 2;боевик;8.1
Мария;Зелёная миля;драма;9.0
Мария;Крёстный отец;криминал;7.7
Дмитрий;Форрест Гамп;драма;9.6
Дмитрий;Молчание ягнят;триллер;8.0
Дмитрий;Семь;триллер;8.0
Дмитрий;Довод;боевик;9.5
Дмитрий;Леон;криминал;9.5
Анна;Однажды в Голливуде;комедия;8.8
Анна;Побег из Шоушенка;драма;9.0
Анна;Довод;боевик;8.7
Анна;Леон;криминал;8.6
Анна;Семь;триллер;7.9
Павел;Престиж;триллер;8.9
Павел;Побег из Шоушенка;драма;8.6
Павел;Бойцовский клуб;триллер;8.7
Павел;Назад в будущее;фантастика;7.8
Павел;Довод;боевик;10.0
Катя;Семь;триллер;7.5
Катя;Молчание ягнят;триллер;7.9
Катя;Терминатор 2;боевик;8.8
Катя;Джокер;драма;8.2
Катя;Большой Лебовски;комедия;8.1
Алексей;Один дома;комедия;7.6
Алексей;Престиж;триллер;8.6
Алексей;Интерстеллар;фантастика;9.2
Алексей;Молчание ягнят;триллер;8.2
Алексей;Побег из Шоушенка;драма;9.1
Наташа;Семь;триллер;7.4
Наташа;Властелин колец;фэнтези;8.0
Наташа;Pulp Fiction;криминал;8.8
Наташа;Джокер;драма;8.2
Наташа;Матрица;боевик;8.8
Виктор;Зелёная миля;драма;8.3
Виктор;Начало;боевик;9.5
Виктор;Большой Лебовски;комедия;7.4
Виктор;Терминатор 2;боевик;8.8
Виктор;Побег из Шоушенка;драма;8.4
Лена;Семь;триллер;7.0
Лена;Леон;криминал;9.2
Лена;Pulp Fiction;криминал;8.8
Лена;Побег из Шоушенка;драма;8.7
Лена;Тёмный рыцарь;боевик;7.7
Иван;Goodfellas;криминал;8.9
Иван;Молчание ягнят;триллер;8.3
Иван;Начало;боевик;9.1
Иван;Зелёная миля;драма;8.2
Иван;Матрица;боевик;9.0
Ольга;Крёстный отец;криминал;7.6
Ольга;Интерстеллар;фантастика;7.6
Ольга;Семь;триллер;7.5
Ольга;Властелин колец;фэнтези;7.8
Ольга;Форрест Гамп;драма;9.8
Сергей;Зелёная миля;драма;9.2
Сергей;Властелин колец;фэнтези;8.2
Сергей;Довод;боевик;9.6
Сергей;Семь;триллер;7.5
Сергей;Интерстеллар;фантастика;9.3
Мария;Довод;боевик;8.9
Мария;Молчание ягнят;триллер;7.9
Мария;Интерстеллар;фантастика;8.3
Мария;Тёмный рыцарь;боевик;7.7
Мария;Престиж;триллер;8.5
Дмитрий;Побег из Шоушенка;драма;8.9
Дмитрий;Джокер;драма;8.0
Дмитрий;Терминатор 2;боевик;8.6
Дмитрий;Крёстный отец;криминал;7.8
Дмитрий;Бойцовский клуб;триллер;8.5
Анна;Один дома;комедия;7.9
Анна;Goodfellas;криминал;8.9
Анна;Тёмный рыцарь;боевик;8.2
Анна;Довод;боевик;8.3
Анна;Крёстный отец;криминал;7.8
Павел;Довод;боевик;9.9
Павел;Побег из Шоушенка;драма;8.1
Павел;Один дома;комедия;7.6
Павел;Форрест Гамп;драма;8.9
Павел;Большой Лебовски;комедия;7.1
Катя;Начало;боевик;8.6
Катя;Один дома;комедия;7.9
Катя;Престиж;триллер;8.9
Катя;Pulp Fiction;криминал;8.9
Катя;Список Шиндлера;драма;8.5
Алексей;Леон;криминал;9.5
Алексей;Форрест Гамп;драма;8.8
Алексей;Зелёная миля;драма;8.6
Алексей;Однажды в Голливуде;комедия;8.3
Алексей;Интерстеллар;фантастика;8.4
Наташа;Довод;боевик;9.2
Наташа;Бойцовский клуб;триллер;8.3
Наташа;Матрица;боевик;8.4
Наташа;Большой Лебовски;комедия;8.1
Наташа;Джокер;драма;8.3
Виктор;Однажды в Голливуде;комедия;7.9
Виктор;Список Шиндлера;драма;8.2
Виктор;Довод;боевик;9.2
